% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
1000000000                6.351067633705939E-30
1.009009009009009E9       1.1574079359490934E-29
1.018018018018018E9       2.0872848129721284E-29
1.027027027027027E9       3.7260741973551144E-29
1.036036036036036E9       6.585832383360254E-29
1.045045045045045E9       1.1528429467012183E-28
1.054054054054054E9       1.9991116386204042E-28
1.063063063063063E9       3.434906197849185E-28
1.072072072072072E9       5.849297155776953E-28
1.0810810810810812E9      9.874160172557045E-28
1.09009009009009E9        1.65271455560111E-27
1.0990990990990992E9      2.7433877887799142E-27
1.108108108108108E9       4.517058813384297E-27
1.1171171171171172E9      7.378841778633327E-27
1.126126126126126E9       1.1960974657929848E-26
1.1351351351351352E9      1.9242889060905938E-26
1.144144144144144E9       3.073096766420115E-26
1.1531531531531532E9      4.872579930167907E-26
1.162162162162162E9       7.671683972042418E-26
1.1711711711711712E9      1.19961375037713E-25
1.18018018018018E9        1.8632839231621383E-25
1.1891891891891892E9      2.875208410694343E-25
1.1981981981981983E9      4.408350961422702E-25
1.2072072072072072E9      6.716785528906265E-25
1.216216216216216E9       1.0171509358201553E-24
1.2252252252252252E9      1.5311096094173745E-24
1.2342342342342343E9      2.291293770573227E-24
1.2432432432432432E9      3.409289633955552E-24
1.2522522522522523E9      5.044395075726023E-24
1.2612612612612612E9      7.422808859973108E-24
1.2702702702702703E9      1.0864053629206644E-23
1.2792792792792792E9      1.5817177781617378E-23
1.2882882882882884E9      2.2910112875378814E-23
1.2972972972972972E9      3.30166453953192E-23
1.3063063063063064E9      4.7346863769101435E-23
1.3153153153153152E9      6.756874990280098E-23
1.3243243243243244E9      9.597090684992863E-23
1.3333333333333333E9      1.3567938393545023E-22
1.3423423423423424E9      1.9094534239463686E-22
1.3513513513513513E9      2.67525100801509E-22
1.3603603603603604E9      3.7318015816925845E-22
1.3693693693693695E9      5.183324160383599E-22
1.3783783783783784E9      7.169193766801617E-22
1.3873873873873873E9      9.875060277841845E-22
1.3963963963963964E9      1.3547249716127707E-21
1.4054054054054055E9      1.851134764128011E-21
1.4144144144144144E9      2.5196091704164794E-21
1.4234234234234233E9      3.4163980402985215E-21
1.4324324324324324E9      4.615034861257735E-21
1.4414414414414415E9      6.211308058312614E-21
1.4504504504504504E9      8.329564323499793E-21
1.4594594594594595E9      1.1130674488019844E-20
1.4684684684684684E9      1.4822067832696247E-20
1.4774774774774776E9      1.967033176840012E-20
1.4864864864864864E9      2.6016983429150224E-20
1.4954954954954956E9      3.429815130974597E-20
1.5045045045045044E9      4.506906259940813E-20
1.5135135135135136E9      5.903441989079018E-20
1.5225225225225224E9      7.70859747674245E-20
1.5315315315315316E9      1.0034887148334964E-19
1.5405405405405407E9      1.3023864854467295E-19
1.5495495495495496E9      1.6853115750414682E-19
1.5585585585585585E9      2.1744809585397164E-19
1.5675675675675676E9      2.797613650020518E-19
1.5765765765765767E9      3.5892006683290514E-19
1.5855855855855856E9      4.592046567780757E-19
1.5945945945945945E9      5.859135929260654E-19
1.6036036036036036E9      7.45588776738728E-19
1.6126126126126127E9      9.462871908495852E-19
1.6216216216216216E9      1.1979074250556747E-18
1.6306306306306305E9      1.512581267499407E-18
1.6396396396396396E9      1.90514225162084E-18
1.6486486486486487E9      2.3936850214077516E-18
1.6576576576576576E9      3.00023164196554E-18
1.6666666666666665E9      3.7515235774990586E-18
1.6756756756756756E9      4.679961026665874E-18
1.6846846846846848E9      5.824714692706579E-18
1.6936936936936936E9      7.233038924520028E-18
1.7027027027027028E9      8.961819552029145E-18
1.711711711711712E9       1.1079394717689321E-17
1.7207207207207208E9      1.366769264499712E-17
1.7297297297297297E9      1.6824736660296762E-17
1.7387387387387388E9      2.066757497922794E-17
1.747747747747748E9       2.5335700874822117E-17
1.7567567567567568E9      3.099503795982726E-17
1.7657657657657657E9      3.7842575549632347E-17
1.7747747747747748E9      4.611175054191082E-17
1.783783783783784E9       5.607868508282938E-17
1.7927927927927928E9      6.806940362605596E-17
1.8018018018018017E9      8.246816898014554E-17
1.8108108108108108E9      9.972709474455052E-17
1.81981981981982E9        1.2037721132974788E-16
1.8288288288288288E9      1.4504118473169617E-16
1.8378378378378377E9      1.7444791158823596E-16
1.8468468468468468E9      2.094492410033548E-16
1.855855855855856E9       2.5103910341879053E-16
1.8648648648648648E9      3.0037535969188844E-16
1.8738738738738737E9      3.588047197724231E-16
1.8828828828828828E9      4.278911202456146E-16
1.891891891891892E9       5.094479938296155E-16
1.9009009009009008E9      6.055749120086246E-16
1.90990990990991E9        7.186991346937711E-16
1.918918918918919E9       8.51622658500635E-16
